    Raman shift    inc freq                      X                               Y                                Z
                                            Real       Imag                 Real       Imag                 Real       Imag
      0.00000    35327.06520        0.199335E+01   0.786416E-01     -0.920497E+01  -0.363154E+00     -0.996044E-14  -0.403210E-15

                                   -0.920497E+01  -0.363154E+00      0.425070E+02   0.167698E+01      0.426279E-13   0.167118E-14

                                   -0.996044E-14  -0.403210E-15      0.426279E-13   0.167118E-14      0.866067E-03   0.490609E-04

      0.00000    35367.39290        0.200122E+01   0.794362E-01     -0.924129E+01  -0.366823E+00     -0.100008E-13  -0.407421E-15

                                   -0.924129E+01  -0.366823E+00      0.426747E+02   0.169393E+01      0.427950E-13   0.168793E-14

                                   -0.100008E-13  -0.407421E-15      0.427950E-13   0.168793E-14      0.870956E-03   0.497550E-04

      0.00000    35407.72060        0.200916E+01   0.802426E-01     -0.927797E+01  -0.370547E+00     -0.100415E-13  -0.411698E-15

                                   -0.927797E+01  -0.370547E+00      0.428441E+02   0.171112E+01      0.429638E-13   0.170492E-14

