  Raman shift    inc freq             spec           a**2         g**2         d**2
  
 osc           1  nq max           0
       0.00      44441.13         0.97443E+04   0.41026E+04   0.36268E+05   0.00000E+00
       0.00      44481.45         0.96920E+04   0.40809E+04   0.36071E+05   0.00000E+00
       0.00      44521.78         0.96415E+04   0.40599E+04   0.35882E+05   0.00000E+00
       0.00      44562.11         0.95916E+04   0.40391E+04   0.35694E+05   0.00000E+00
       0.00      44602.44         0.95429E+04   0.40189E+04   0.35511E+05   0.00000E+00
       0.00      44642.76         0.94965E+04   0.39996E+04   0.35337E+05   0.00000E+00
       0.00      44683.09         0.94547E+04   0.39823E+04   0.35180E+05   0.00000E+00
       0.00      44723.42         0.94187E+04   0.39675E+04   0.35044E+05   0.00000E+00
       0.00      44763.75         0.93896E+04   0.39555E+04   0.34933E+05   0.00000E+00
       0.00      44804.07         0.93675E+04   0.39465E+04   0.34849E+05   0.00000E+00
       0.00      44844.40         0.93514E+04   0.39401E+04   0.34787E+05   0.00000E+00
       0.00      44884.73         0.93398E+04   0.39356E+04   0.34741E+05   0.00000E+00
       0.00      44925.06         0.93312E+04   0.39323E+04   0.34707E+05   0.00000E+00
       0.00      44965.39         0.93246E+04   0.39299E+04   0.34680E+05   0.00000E+00
       0.00      45005.71         0.93198E+04   0.39282E+04   0.34660E+05   0.00000E+00
       0.00      45046.04         0.93175E+04   0.39276E+04   0.34650E+05   0.00000E+00
       0.00      45086.37         0.93186E+04   0.39283E+04   0.34652E+05   0.00000E+00
       0.00      45126.70         0.93244E+04   0.39310E+04   0.34672E+05   0.00000E+00
       0.00      45167.02         0.93356E+04   0.39360E+04   0.34712E+05   0.00000E+00
       0.00      45207.35         0.93527E+04   0.39434E+04   0.34774E+05   0.00000E+00
       0.00      45247.68         0.93756E+04   0.39532E+04   0.34858E+05   0.00000E+00
       0.00      45288.01         0.94036E+04   0.39651E+04   0.34961E+05   0.00000E+00
       0.00      45328.33         0.94350E+04   0.39785E+04   0.35077E+05   0.00000E+00
       0.00      45368.66         0.94673E+04   0.39923E+04   0.35197E+05   0.00000E+00
